row_number,level,Nation_fk,Year,Region,Country,wb_code,merge_key,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
158,1,152,2010,Sub-Saharan Africa,Nigeria,NGA,NGA_2010,78050000,77300000,680000,         <10000,10000,2290000,90000,         <10000,158420000
160,1,154,2010,Asia-Pacific,North Korea,PRK,PRK_2010,480000,         <10000,17350000,         <10000,370000,3000000,3140000,         <10000,24350000
161,1,155,2010,Asia-Pacific,Northern Mariana Islands,MNP,MNP_2010,40000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,50000
162,1,156,2010,Europe,Norway,NOR,NOR_2010,4140000,180000,490000,20000,30000,         <10000,10000,         <10000,4880000
163,1,157,2010,Middle East-North Africa,Oman,OMN,OMN_2010,180000,2390000,         <10000,150000,20000,         <10000,30000,         <10000,2780000
164,1,158,2010,Asia-Pacific,Pakistan,PAK,PAK_2010,2750000,167410000,20000,3330000,20000,30000,20000,         <10000,173590000
165,1,159,2010,Asia-Pacific,Palau,PLW,PLW_2010,20000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,20000
167,1,161,2010,Latin America-Caribbean,Panama,PAN,PAN_2010,3270000,30000,170000,         <10000,         <10000,20000,20000,10000,3520000
168,1,162,2010,Asia-Pacific,Papua New Guinea,PNG,PNG_2010,6800000,         <10000,         <10000,         <10000,         <10000,30000,20000,         <10000,6860000
169,1,163,2010,Latin America-Caribbean,Paraguay,PRY,PRY_2010,6250000,         <10000,70000,         <10000,         <10000,110000,10000,         <10000,6450000
170,1,164,2010,Latin America-Caribbean,Peru,PER,PER_2010,27780000,         <10000,860000,         <10000,50000,290000,90000,         <10000,29080000
171,1,165,2010,Asia-Pacific,Philippines,PHL,PHL_2010,86370000,5150000,90000,         <10000,80000,1430000,130000,         <10000,93260000
172,1,167,2010,Europe,Poland,POL,POL_2010,36100000,         <10000,2150000,         <10000,         <10000,         <10000,         <10000,10000,38280000
173,1,168,2010,Europe,Portugal,PRT,PRT_2010,9810000,30000,800000,         <10000,20000,10000,         <10000,         <10000,10680000
174,1,169,2010,Latin America-Caribbean,Puerto Rico,PRI,PRI_2010,3630000,         <10000,70000,         <10000,10000,30000,         <10000,         <10000,3750000
175,1,170,2010,Middle East-North Africa,Qatar,QAT,QAT_2010,240000,1190000,20000,240000,50000,         <10000,10000,         <10000,1760000
177,1,172,2010,Europe,Romania,ROU,ROU_2010,21380000,70000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,21490000
178,1,173,2010,Europe,Russia,RUS,RUS_2010,104750000,14290000,23180000,30000,170000,310000,         <10000,230000,142960000
179,1,174,2010,Sub-Saharan Africa,Rwanda,RWA,RWA_2010,9920000,190000,380000,         <10000,         <10000,100000,20000,         <10000,10620000
181,1,176,2010,Latin America-Caribbean,St. Kitts and Nevis,KN1,KN1_2010,50000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,50000
182,1,177,2010,Latin America-Caribbean,St. Lucia,LCA,LCA_2010,160000,         <10000,10000,         <10000,         <10000,         <10000,         <10000,         <10000,170000
185,1,180,2010,Asia-Pacific,Samoa,WSM,WSM_2010,180000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,180000
186,1,181,2010,Europe,San Marino,SMR,SMR_2010,30000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,30000
187,1,182,2010,Sub-Saharan Africa,Sao Tome and Principe,STP,STP_2010,140000,         <10000,20000,         <10000,         <10000,         <10000,         <10000,         <10000,170000
188,1,183,2010,Middle East-North Africa,Saudi Arabia,SAU,SAU_2010,1200000,25520000,180000,310000,90000,70000,70000,         <10000,27450000
189,1,184,2010,Sub-Saharan Africa,Senegal,SEN,SEN_2010,450000,11980000,         <10000,         <10000,         <10000,         <10000,         <10000,         <10000,12430000
190,1,185,2010,Europe,Serbia,SRB,SRB_2010,7490000,330000,260000,         <10000,         <10000,         <10000,         <10000,         <10000,8090000
